booking_id,customer_id,cab_company_name,cab_company_id,driver_id,allocated_vehicle_make_model,vehicle_type,vehicle_seat_capacity,vehicle_colour,cab_current_location_name,cab_current_latitude,cab_current_longitude,distance_from_stadium_km,distance_to_pickup_km,allocation_status,estimated_arrival_to_pickup_min,relative_position_to_pickup,pickup_date,pickup_location_name,pickup_time,pickup_latitude,pickup_longitude,pickup_time_parsed,pickup_datetime
BK04180011,CUST100011,NightMove Cabs,CAB205,DRV240011,Skoda Superb,Sedan,4,Grey,Herston staging area,-27.449229,153.027768,2.73,3.38,Allocated,10,Opposite side of stadium precinct,2026-04-18,Park Rd Pickup Zone,09:40 PM,-27.47197,153.0051,21:40:00,2026-04-18 21:40:00
BK04180012,CUST100012,RiverCity Taxi Network,CAB202,DRV240012,Kia Sorento,SUV,6,White,West End staging area,-27.47709,153.010347,1.18,0.77,Allocated,3,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,09:55 PM,-27.47197,153.0051,21:55:00,2026-04-18 21:55:00
BK04180013,CUST100013,EventLink Rides,CAB204,DRV240013,Hyundai Staria,Maxi Taxi,7,Black,Bardon Edge staging area,-27.469364,152.964488,4.33,4.14,Allocated,15,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,09:45 PM,-27.46817,153.00639,21:45:00,2026-04-18 21:45:00
BK04180014,CUST100014,Metro Cabs Brisbane,CAB201,DRV240014,Toyota Corolla Hybrid,Sedan,4,Blue,Bardon Edge staging area,-27.461963,152.987252,2.14,2.67,Allocated,8,Opposite side of stadium precinct,2026-04-18,Upper Roma St Pickup Zone,09:00 PM,-27.4662,153.01391,21:00:00,2026-04-18 21:00:00
BK04180015,CUST100015,NightMove Cabs,CAB205,DRV240015,Skoda Superb,Sedan,4,Grey,West End staging area,-27.482733,153.006257,1.8,1.62,Allocated,6,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,10:05 PM,-27.46817,153.00639,22:05:00,2026-04-18 22:05:00
BK04180016,CUST100016,BlueLine Cabs,CAB203,DRV240016,Hyundai i30 Sedan,Sedan,4,White,Kelvin Grove staging area,-27.454254,153.012819,1.45,1.05,Allocated,4,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,09:15 PM,-27.4636,153.01159,21:15:00,2026-04-18 21:15:00
BK04180017,CUST100017,BlueLine Cabs,CAB203,DRV240017,Hyundai i30 Sedan,Sedan,4,Silver,Auchenflower staging area,-27.478074,153.002083,1.41,1.7,Allocated,4,Opposite side of stadium precinct,2026-04-18,Castlemaine St Pickup Zone,11:25 PM,-27.46392,153.00872,23:25:00,2026-04-18 23:25:00
BK04180018,CUST100018,CityLoop Taxi Service,CAB206,DRV240018,Skoda Superb,Sedan,4,Blue,Newmarket Edge staging area,-27.427671,153.007843,4.33,4.93,Allocated,16,Opposite side of stadium precinct,2026-04-18,Park Rd Pickup Zone,11:20 PM,-27.47197,153.0051,23:20:00,2026-04-18 23:20:00
BK04180019,CUST100019,BlueLine Cabs,CAB203,DRV240019,Toyota Corolla Hybrid,Sedan,4,Blue,Herston staging area,-27.445602,153.034598,3.5,3.27,Allocated,11,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,10:45 PM,-27.46392,153.00872,22:45:00,2026-04-18 22:45:00
BK04180020,CUST100020,EventLink Rides,CAB204,DRV240020,Kia Carnival,Maxi Taxi,7,Silver,West End staging area,-27.490569,153.003573,2.7,2.07,Allocated,8,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,11:25 PM,-27.47197,153.0051,23:25:00,2026-04-18 23:25:00
BK04180021,CUST100021,EventLink Rides,CAB204,DRV240021,Hyundai Staria,Maxi Taxi,7,Silver,Spring Hill staging area,-27.462319,153.019817,1.24,0.99,Allocated,4,Same side / adjacent side,2026-04-18,Milton Rd Pickup Bay,10:55 PM,-27.46672,153.01109,22:55:00,2026-04-18 22:55:00
BK04180022,CUST100022,EventLink Rides,CAB204,DRV240022,Kia Carnival,Maxi Taxi,7,Grey,Bardon Edge staging area,-27.459101,152.97232,3.64,4.18,Allocated,13,Opposite side of stadium precinct,2026-04-18,Upper Roma St Pickup Zone,10:50 PM,-27.4662,153.01391,22:50:00,2026-04-18 22:50:00
BK04180023,CUST100023,EventLink Rides,CAB204,DRV240023,Kia Carnival,Maxi Taxi,7,Grey,Herston staging area,-27.436374,153.028794,3.93,3.65,Allocated,12,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,10:20 PM,-27.46392,153.00872,22:20:00,2026-04-18 22:20:00
BK04180024,CUST100024,CityLoop Taxi Service,CAB206,DRV240024,Toyota Corolla Hybrid,Sedan,4,Blue,Bardon Edge staging area,-27.46647,152.968759,3.9,3.67,Allocated,12,Same side / adjacent side,2026-04-18,Given Tce Pickup Point,10:30 PM,-27.4649,153.00591,22:30:00,2026-04-18 22:30:00
BK04180025,CUST100025,BlueLine Cabs,CAB203,DRV240025,Kia Sorento,SUV,6,Silver,Bardon Edge staging area,-27.45941,152.984921,2.44,2.16,Allocated,7,Same side / adjacent side,2026-04-18,Given Tce Pickup Point,10:10 PM,-27.4649,153.00591,22:10:00,2026-04-18 22:10:00
BK04180026,CUST100026,NightMove Cabs,CAB205,DRV240026,Toyota Camry Hybrid,Sedan,4,Grey,Toowong staging area,-27.486677,152.998181,2.44,2.74,Allocated,7,Opposite side of stadium precinct,2026-04-18,Castlemaine St Pickup Zone,10:15 PM,-27.46392,153.00872,22:15:00,2026-04-18 22:15:00
BK04180027,CUST100027,EventLink Rides,CAB204,DRV240027,Toyota Camry Hybrid,Sedan,4,White,Bardon Edge staging area,-27.45923,152.975485,3.34,3.07,Allocated,8,Same side / adjacent side,2026-04-18,Given Tce Pickup Point,11:30 PM,-27.4649,153.00591,23:30:00,2026-04-18 23:30:00
BK04180028,CUST100028,EventLink Rides,CAB204,DRV240028,Hyundai Staria,Maxi Taxi,7,Silver,Brisbane City staging area,-27.488245,153.04357,4.23,4.65,Allocated,13,Opposite side of stadium precinct,2026-04-18,Heussler Tce Pickup Bay,10:00 PM,-27.46542,153.00412,22:00:00,2026-04-18 22:00:00
BK04180029,CUST100029,EventLink Rides,CAB204,DRV240029,Kia Carnival,Maxi Taxi,7,Grey,Toowong staging area,-27.473484,152.973936,3.47,3.9,Allocated,11,Opposite side of stadium precinct,2026-04-18,Petrie Tce Pickup Point,11:00 PM,-27.4657,153.0125,23:00:00,2026-04-18 23:00:00
BK04180030,CUST100030,Metro Cabs Brisbane,CAB201,DRV240030,Hyundai i30 Sedan,Sedan,4,Black,Newmarket Edge staging area,-27.430985,153.015724,4.03,4.68,Allocated,15,Opposite side of stadium precinct,2026-04-18,Park Rd Pickup Zone,10:55 PM,-27.47197,153.0051,22:55:00,2026-04-18 22:55:00
BK04180031,CUST100031,CityLoop Taxi Service,CAB206,DRV240031,Skoda Superb,Sedan,4,Silver,Toowong staging area,-27.491128,153.001751,2.8,3.1,Allocated,9,Opposite side of stadium precinct,2026-04-18,Castlemaine St Pickup Zone,09:50 PM,-27.46392,153.00872,21:50:00,2026-04-18 21:50:00
BK04180032,CUST100032,BlueLine Cabs,CAB203,DRV240032,Toyota Corolla Hybrid,Sedan,4,Blue,Spring Hill staging area,-27.456778,153.019923,1.59,1.12,Allocated,4,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,09:10 PM,-27.4636,153.01159,21:10:00,2026-04-18 21:10:00
BK04180033,CUST100033,CityLoop Taxi Service,CAB206,DRV240033,Hyundai i30 Sedan,Sedan,4,Black,Toowong staging area,-27.484002,152.966217,4.58,4.83,Allocated,15,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,11:00 PM,-27.46672,153.01109,23:00:00,2026-04-18 23:00:00
BK04180034,CUST100034,BlueLine Cabs,CAB203,DRV240034,Hyundai i30 Sedan,Sedan,4,Grey,Toowong staging area,-27.492104,153.003438,2.87,2.24,Allocated,7,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,10:00 PM,-27.47197,153.0051,22:00:00,2026-04-18 22:00:00
BK04180035,CUST100035,BlueLine Cabs,CAB203,DRV240035,Hyundai i30 Sedan,Sedan,4,Silver,Toowong staging area,-27.47401,152.96583,4.27,4.54,Allocated,16,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,09:15 PM,-27.46672,153.01109,21:15:00,2026-04-18 21:15:00
BK04180036,CUST100036,Metro Cabs Brisbane,CAB201,DRV240036,Toyota Corolla Hybrid,Sedan,4,Blue,Spring Hill staging area,-27.459537,153.030903,2.37,1.94,Allocated,6,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,10:35 PM,-27.4657,153.0125,22:35:00,2026-04-18 22:35:00
BK04180037,CUST100037,BlueLine Cabs,CAB203,DRV240037,Toyota Corolla Hybrid,Sedan,4,Black,Roma Street staging area,-27.469912,153.019173,1.14,0.66,Allocated,3,Same side / adjacent side,2026-04-18,Upper Roma St Pickup Zone,10:35 PM,-27.4662,153.01391,22:35:00,2026-04-18 22:35:00
BK04180038,CUST100038,RiverCity Taxi Network,CAB202,DRV240038,Toyota RAV4 Hybrid,SUV,4,Blue,Auchenflower staging area,-27.47765,152.99277,1.96,2.36,Allocated,8,Opposite side of stadium precinct,2026-04-18,Petrie Tce Pickup Point,10:05 PM,-27.4657,153.0125,22:05:00,2026-04-18 22:05:00
BK04180039,CUST100039,NightMove Cabs,CAB205,DRV240039,Hyundai Staria,Maxi Taxi,7,Grey,Toowong staging area,-27.47557,152.976226,3.31,3.73,Allocated,13,Opposite side of stadium precinct,2026-04-18,Caxton St Pickup Point,11:05 PM,-27.4636,153.01159,23:05:00,2026-04-18 23:05:00
BK04180040,CUST100040,CityLoop Taxi Service,CAB206,DRV240040,Toyota HiAce Commuter,Wheelchair / Maxi Taxi,10,Silver,Paddington staging area,-27.456741,153.003399,1.2,0.96,Allocated,3,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,11:15 PM,-27.46392,153.00872,23:15:00,2026-04-18 23:15:00
BK04180041,CUST100041,BlueLine Cabs,CAB203,DRV240041,Toyota Corolla Hybrid,Sedan,4,Blue,Brisbane City staging area,-27.459265,153.043841,3.6,3.34,Allocated,11,Same side / adjacent side,2026-04-18,Milton Rd Pickup Bay,10:20 PM,-27.46672,153.01109,22:20:00,2026-04-18 22:20:00
BK04180042,CUST100042,NightMove Cabs,CAB205,DRV240042,Hyundai Staria,Maxi Taxi,7,Grey,Toowong staging area,-27.505551,152.997555,4.45,4.25,Allocated,14,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,10:15 PM,-27.46817,153.00639,22:15:00,2026-04-18 22:15:00
BK04180043,CUST100043,Metro Cabs Brisbane,CAB201,DRV240043,Toyota Camry Hybrid,Sedan,4,Blue,Spring Hill staging area,-27.45538,153.040512,3.42,2.89,Allocated,8,Same side / adjacent side,2026-04-18,Upper Roma St Pickup Zone,10:00 PM,-27.4662,153.01391,22:00:00,2026-04-18 22:00:00
BK04180044,CUST100044,Metro Cabs Brisbane,CAB201,DRV240044,Toyota Camry Hybrid,Sedan,4,Black,Spring Hill staging area,-27.457073,153.02513,1.97,1.57,Allocated,5,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,10:05 PM,-27.4657,153.0125,22:05:00,2026-04-18 22:05:00
BK04180045,CUST100045,RiverCity Taxi Network,CAB202,DRV240045,Skoda Superb,Sedan,4,Black,Bardon Edge staging area,-27.463504,152.985684,2.26,2.0,Allocated,6,Same side / adjacent side,2026-04-18,Given Tce Pickup Point,11:50 PM,-27.4649,153.00591,23:50:00,2026-04-18 23:50:00
BK04180046,CUST100046,Metro Cabs Brisbane,CAB201,DRV240046,Hyundai Staria,Maxi Taxi,7,Grey,Bardon Edge staging area,-27.472277,152.972276,3.61,4.04,Allocated,11,Opposite side of stadium precinct,2026-04-18,Petrie Tce Pickup Point,10:30 PM,-27.4657,153.0125,22:30:00,2026-04-18 22:30:00
BK04180047,CUST100047,NightMove Cabs,CAB205,DRV240047,Hyundai Staria,Maxi Taxi,7,White,Herston staging area,-27.44585,153.030734,3.2,3.45,Allocated,9,Opposite side of stadium precinct,2026-04-18,Cribb St Pickup Bay,09:15 PM,-27.46817,153.00639,21:15:00,2026-04-18 21:15:00
BK04180048,CUST100048,RiverCity Taxi Network,CAB202,DRV240048,Toyota RAV4 Hybrid,SUV,4,Black,Paddington staging area,-27.464923,153.00127,0.72,0.29,Allocated,3,Same side / adjacent side,2026-04-18,Heussler Tce Pickup Bay,10:00 PM,-27.46542,153.00412,22:00:00,2026-04-18 22:00:00
BK04180049,CUST100049,BlueLine Cabs,CAB203,DRV240049,Toyota RAV4 Hybrid,SUV,4,Black,Auchenflower staging area,-27.470154,152.997902,1.1,1.64,Allocated,4,Opposite side of stadium precinct,2026-04-18,Upper Roma St Pickup Zone,10:50 PM,-27.4662,153.01391,22:50:00,2026-04-18 22:50:00
BK04180050,CUST100050,Metro Cabs Brisbane,CAB201,DRV240050,Toyota Corolla Hybrid,Sedan,4,Grey,Brisbane City staging area,-27.472335,153.043376,3.52,2.99,Allocated,8,Same side / adjacent side,2026-04-18,Upper Roma St Pickup Zone,11:50 PM,-27.4662,153.01391,23:50:00,2026-04-18 23:50:00
BK04180051,CUST100051,CityLoop Taxi Service,CAB206,DRV240051,Toyota Camry Hybrid,Sedan,4,Black,Bardon Edge staging area,-27.460368,152.990283,1.91,1.54,Allocated,5,Same side / adjacent side,2026-04-18,Baroona Rd Pickup Point,09:40 PM,-27.46849,153.00298,21:40:00,2026-04-18 21:40:00
BK04180052,CUST100052,EventLink Rides,CAB204,DRV240052,Hyundai Staria,Maxi Taxi,7,Silver,Toowong staging area,-27.496795,152.993604,3.65,3.42,Allocated,9,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,11:45 PM,-27.46817,153.00639,23:45:00,2026-04-18 23:45:00
BK04180053,CUST100053,NightMove Cabs,CAB205,DRV240053,Skoda Superb,Sedan,4,Grey,Spring Hill staging area,-27.457945,153.030538,2.4,1.97,Allocated,5,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,10:15 PM,-27.4636,153.01159,22:15:00,2026-04-18 22:15:00
BK04180054,CUST100054,EventLink Rides,CAB204,DRV240054,Kia Carnival,Maxi Taxi,7,Grey,Newmarket Edge staging area,-27.436885,153.009812,3.31,3.93,Allocated,14,Opposite side of stadium precinct,2026-04-18,Park Rd Pickup Zone,09:45 PM,-27.47197,153.0051,21:45:00,2026-04-18 21:45:00
BK04180055,CUST100055,EventLink Rides,CAB204,DRV240055,Toyota Camry Hybrid,Sedan,4,Grey,West End staging area,-27.483006,153.007188,1.82,1.24,Allocated,4,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,11:35 PM,-27.47197,153.0051,23:35:00,2026-04-18 23:35:00
BK04180056,CUST100056,NightMove Cabs,CAB205,DRV240056,Toyota Camry Hybrid,Sedan,4,Blue,Bardon Edge staging area,-27.468721,152.986855,2.13,1.59,Allocated,4,Same side / adjacent side,2026-04-18,Baroona Rd Pickup Point,09:55 PM,-27.46849,153.00298,21:55:00,2026-04-18 21:55:00
BK04180057,CUST100057,NightMove Cabs,CAB205,DRV240057,Skoda Superb,Sedan,4,Blue,Bardon Edge staging area,-27.467765,152.976552,3.13,3.41,Allocated,9,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,10:10 PM,-27.46672,153.01109,22:10:00,2026-04-18 22:10:00
BK04180058,CUST100058,Metro Cabs Brisbane,CAB201,DRV240058,Kia Carnival,Maxi Taxi,7,White,Bardon Edge staging area,-27.465194,152.983697,2.43,2.71,Allocated,8,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,09:25 PM,-27.46672,153.01109,21:25:00,2026-04-18 21:25:00
BK04180059,CUST100059,EventLink Rides,CAB204,DRV240059,Toyota Camry Hybrid,Sedan,4,Blue,Spring Hill staging area,-27.458514,153.027219,2.08,2.64,Allocated,7,Opposite side of stadium precinct,2026-04-18,Baroona Rd Pickup Point,10:30 PM,-27.46849,153.00298,22:30:00,2026-04-18 22:30:00
BK04180060,CUST100060,BlueLine Cabs,CAB203,DRV240060,Hyundai i30 Sedan,Sedan,4,Blue,Toowong staging area,-27.497656,152.98982,3.9,3.23,Allocated,9,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,11:40 PM,-27.47197,153.0051,23:40:00,2026-04-18 23:40:00
BK04180061,CUST100061,CityLoop Taxi Service,CAB206,DRV240061,Kia Sorento,SUV,6,Black,South Brisbane staging area,-27.477511,153.023444,1.92,2.33,Allocated,7,Opposite side of stadium precinct,2026-04-18,Heussler Tce Pickup Bay,09:20 PM,-27.46542,153.00412,21:20:00,2026-04-18 21:20:00
BK04180062,CUST100062,NightMove Cabs,CAB205,DRV240062,Skoda Superb,Sedan,4,Silver,Brisbane City staging area,-27.466305,153.024288,1.58,1.99,Allocated,5,Opposite side of stadium precinct,2026-04-18,Heussler Tce Pickup Bay,11:30 PM,-27.46542,153.00412,23:30:00,2026-04-18 23:30:00
BK04180063,CUST100063,EventLink Rides,CAB204,DRV240063,Hyundai Staria,Maxi Taxi,7,Black,Petrie Terrace staging area,-27.463699,153.014677,0.71,0.31,Allocated,3,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,10:20 PM,-27.4657,153.0125,22:20:00,2026-04-18 22:20:00
BK04180064,CUST100064,BlueLine Cabs,CAB203,DRV240064,Toyota Corolla Hybrid,Sedan,4,White,Brisbane City staging area,-27.484208,153.04268,3.92,3.67,Allocated,9,Same side / adjacent side,2026-04-18,Milton Rd Pickup Bay,10:00 PM,-27.46672,153.01109,22:00:00,2026-04-18 22:00:00
BK04180065,CUST100065,BlueLine Cabs,CAB203,DRV240065,Toyota RAV4 Hybrid,SUV,4,Black,West End staging area,-27.48431,153.001373,2.08,2.38,Allocated,7,Opposite side of stadium precinct,2026-04-18,Castlemaine St Pickup Zone,10:10 PM,-27.46392,153.00872,22:10:00,2026-04-18 22:10:00
BK04180066,CUST100066,NightMove Cabs,CAB205,DRV240066,Hyundai Staria,Maxi Taxi,7,Silver,Herston staging area,-27.441808,153.03012,3.5,3.24,Allocated,9,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,10:20 PM,-27.46392,153.00872,22:20:00,2026-04-18 22:20:00
BK04180067,CUST100067,BlueLine Cabs,CAB203,DRV240067,Kia Sorento,SUV,6,Blue,Milton staging area,-27.468968,153.003255,0.56,0.38,Allocated,3,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,11:05 PM,-27.47197,153.0051,23:05:00,2026-04-18 23:05:00
BK04180068,CUST100068,RiverCity Taxi Network,CAB202,DRV240068,Kia Carnival,Maxi Taxi,7,Grey,Toowong staging area,-27.476575,152.962286,4.67,4.94,Allocated,13,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,11:35 PM,-27.46672,153.01109,23:35:00,2026-04-18 23:35:00
BK04180069,CUST100069,NightMove Cabs,CAB205,DRV240069,Hyundai Staria,Maxi Taxi,7,Black,Bardon Edge staging area,-27.464217,152.968298,3.95,3.71,Allocated,10,Same side / adjacent side,2026-04-18,Given Tce Pickup Point,09:30 PM,-27.4649,153.00591,21:30:00,2026-04-18 21:30:00
BK04180070,CUST100070,BlueLine Cabs,CAB203,DRV240070,Kia Sorento,SUV,6,White,Newmarket Edge staging area,-27.428066,153.023274,4.54,4.76,Allocated,13,Opposite side of stadium precinct,2026-04-18,Cribb St Pickup Bay,10:40 PM,-27.46817,153.00639,22:40:00,2026-04-18 22:40:00
BK04180071,CUST100071,EventLink Rides,CAB204,DRV240071,Kia Carnival,Maxi Taxi,7,Blue,West End staging area,-27.480778,153.004773,1.61,1.41,Allocated,5,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,10:20 PM,-27.46817,153.00639,22:20:00,2026-04-18 22:20:00
BK04180072,CUST100072,BlueLine Cabs,CAB203,DRV240072,Hyundai i30 Sedan,Sedan,4,White,Herston staging area,-27.448938,153.048203,4.4,3.99,Allocated,12,Same side / adjacent side,2026-04-18,Petrie Tce Pickup Point,11:45 PM,-27.4657,153.0125,23:45:00,2026-04-18 23:45:00
BK04180073,CUST100073,RiverCity Taxi Network,CAB202,DRV240073,Toyota RAV4 Hybrid,SUV,4,Black,West End staging area,-27.487197,153.00846,2.29,2.59,Allocated,7,Opposite side of stadium precinct,2026-04-18,Castlemaine St Pickup Zone,10:00 PM,-27.46392,153.00872,22:00:00,2026-04-18 22:00:00
BK04180074,CUST100074,CityLoop Taxi Service,CAB206,DRV240074,Toyota Camry Hybrid,Sedan,4,Blue,West End staging area,-27.493844,153.015869,3.12,2.65,Allocated,9,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,10:20 PM,-27.47197,153.0051,22:20:00,2026-04-18 22:20:00
BK04180075,CUST100075,EventLink Rides,CAB204,DRV240075,Kia Carnival,Maxi Taxi,7,White,Herston staging area,-27.448707,153.030036,2.93,2.51,Allocated,7,Same side / adjacent side,2026-04-18,Upper Roma St Pickup Zone,10:30 PM,-27.4662,153.01391,22:30:00,2026-04-18 22:30:00
BK04180076,CUST100076,EventLink Rides,CAB204,DRV240076,Hyundai Staria,Maxi Taxi,7,White,Bardon Edge staging area,-27.462843,152.984522,2.38,2.66,Allocated,7,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,09:35 PM,-27.46672,153.01109,21:35:00,2026-04-18 21:35:00
BK04180077,CUST100077,BlueLine Cabs,CAB203,DRV240077,Toyota HiAce Commuter,Wheelchair / Maxi Taxi,10,Grey,Herston staging area,-27.443847,153.015169,2.62,2.32,Allocated,7,Same side / adjacent side,2026-04-18,Castlemaine St Pickup Zone,11:30 PM,-27.46392,153.00872,23:30:00,2026-04-18 23:30:00
BK04180078,CUST100078,Metro Cabs Brisbane,CAB201,DRV240078,Hyundai i30 Sedan,Sedan,4,Silver,Toowong staging area,-27.494069,152.979382,4.17,3.92,Allocated,12,Same side / adjacent side,2026-04-18,Cribb St Pickup Bay,09:20 PM,-27.46817,153.00639,21:20:00,2026-04-18 21:20:00
BK04180079,CUST100079,RiverCity Taxi Network,CAB202,DRV240079,Skoda Superb,Sedan,4,Silver,Herston staging area,-27.445782,153.017037,2.47,2.05,Allocated,7,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,10:45 PM,-27.4636,153.01159,22:45:00,2026-04-18 22:45:00
BK04180080,CUST100080,RiverCity Taxi Network,CAB202,DRV240080,Kia Carnival,Maxi Taxi,7,Grey,Auchenflower staging area,-27.473996,153.003603,0.94,0.27,Allocated,3,Same side / adjacent side,2026-04-18,Park Rd Pickup Zone,11:05 PM,-27.47197,153.0051,23:05:00,2026-04-18 23:05:00
BK04180081,CUST100081,RiverCity Taxi Network,CAB202,DRV240081,Toyota RAV4 Hybrid,SUV,4,White,Bardon Edge staging area,-27.461777,152.977399,3.09,3.37,Allocated,12,Opposite side of stadium precinct,2026-04-18,Milton Rd Pickup Bay,11:25 PM,-27.46672,153.01109,23:25:00,2026-04-18 23:25:00
BK04180082,CUST100082,EventLink Rides,CAB204,DRV240082,Hyundai Staria,Maxi Taxi,7,Blue,Toowong staging area,-27.492112,152.993757,3.17,3.63,Allocated,10,Opposite side of stadium precinct,2026-04-18,Caxton St Pickup Point,10:10 PM,-27.4636,153.01159,22:10:00,2026-04-18 22:10:00
BK04180083,CUST100083,BlueLine Cabs,CAB203,DRV240083,Kia Sorento,SUV,6,Black,Herston staging area,-27.430471,153.029837,4.55,4.1,Allocated,13,Same side / adjacent side,2026-04-18,Caxton St Pickup Point,10:25 PM,-27.4636,153.01159,22:25:00,2026-04-18 22:25:00
BK04180084,CUST100084,NightMove Cabs,CAB205,DRV240084,Toyota Camry Hybrid,Sedan,4,Black,Paddington staging area,-27.459981,152.998728,1.2,0.81,Allocated,3,Same side / adjacent side,2026-04-18,Heussler Tce Pickup Bay,10:50 PM,-27.46542,153.00412,22:50:00,2026-04-18 22:50:00
